l, s
1, 0.002000
21, 0.038000
41, 0.071000
61, 0.103000
81, 0.140000
101, 0.175000
121, 0.202000
141, 0.246000
161, 0.270000
181, 0.304000
201, 0.309000
221, 0.359000
241, 0.375000
261, 0.407000
281, 0.437000
301, 0.466000
321, 0.492000
341, 0.530000
361, 0.654000
381, 0.601000
401, 0.624000
421, 0.665000
441, 0.682000
461, 0.710000
481, 0.853000
501, 0.851000
521, 0.934000
541, 0.927000
561, 0.996000
581, 1.069000
601, 0.902000
621, 0.924000
641, 0.969000
661, 0.967000
681, 1.004000
701, 1.083000
721, 1.283000
741, 1.189000
761, 1.210000
781, 1.236000
801, 1.315000
