Nodesize, s
1, 2.509001
2, 1.631096
3, 1.132296
4, 1.090759
5, 1.065340
6, 1.009180
7, 1.027342
8, 1.014356
9, 1.025644
10, 1.008674
11, 1.003447
12, 0.975125
13, 0.993985
14, 0.988916
15, 0.987883
20, 0.982672
25, 1.016503
30, 1.017118
35, 0.998265
40, 1.011322
45, 1.030104
50, 1.090954
55, 1.148329
60, 1.121694
65, 1.152023
70, 1.147618
75, 1.173611
80, 1.211729
85, 1.217626
90, 1.294642
95, 1.280234
100, 1.351213
110, 1.247161
120, 1.286265
130, 1.421039
140, 1.505612
150, 1.457535
160, 1.527485
170, 1.493925
180, 1.584801
190, 1.508103
200, 1.618945
