W, ms
28800, 1427.879028
38800, 1249.887939
48800, 1299.773926
58800, 1313.140991
68800, 1413.963989
78800, 1387.820068
88800, 1361.098999
98800, 1255.369995
108800, 1231.265991
118800, 1251.602051
128800, 1259.913086
138800, 1284.094971
148800, 1237.826050
158800, 1234.341064
168800, 1254.782959
178800, 1306.014038
188800, 1224.744995
198800, 1284.315918
208800, 1232.979980
218800, 1200.328003
228800, 1188.901978
238800, 1199.449951
248800, 1205.286011
258800, 1230.647949
268800, 1212.167969
278800, 1193.812012
288800, 1242.980957
298800, 1252.927002
308800, 1193.479980
318800, 1191.342041
328800, 1146.037964
338800, 1179.200928
348800, 1187.343018
358800, 1170.106934
368800, 1225.241943
378800, 1186.218994
388800, 1186.621948
398800, 1261.979004
408800, 1196.158936
418800, 1195.118042
428800, 1206.432983
438800, 1260.754028
448800, 1318.239990
458800, 1172.895996
468800, 1179.902954
478800, 1218.772949
488800, 1161.343018
498800, 1128.850952
508800, 1127.234009
518800, 1128.688965
