W, ms
28800, 1048.176025
38800, 1039.593994
48800, 1033.472046
58800, 965.664001
68800, 1003.895996
78800, 1065.959961
88800, 1023.843994
98800, 1085.633057
108800, 974.994019
118800, 945.612976
128800, 1062.046021
138800, 1092.026001
148800, 1069.526978
158800, 1010.689026
168800, 1049.344971
178800, 1017.671997
188800, 1046.890015
198800, 1039.949951
208800, 1047.985962
218800, 1042.727051
228800, 1024.241943
238800, 1059.387939
248800, 1028.599976
258800, 1025.322998
268800, 1011.059998
278800, 991.859009
288800, 1000.228027
298800, 1001.132996
308800, 969.921997
318800, 1007.080017
328800, 959.934021
338800, 956.155029
348800, 958.914001
358800, 1014.505005
368800, 988.174988
378800, 1029.328003
388800, 1108.798950
398800, 1151.369995
408800, 1123.647949
418800, 1168.412964
428800, 1213.723022
438800, 1121.353027
448800, 962.695007
458800, 985.484985
468800, 978.312988
478800, 1005.263977
488800, 972.620972
498800, 1020.848022
508800, 1183.394043
518800, 1008.434021
